╢m┬эел░╧,ецйЎ╝╨к║,дgжa░╧мqжь╕mй╬л╪кл░╧к∙╡P,дgжa▓╛┬р┴`н▒┐nендшд╜д╪,│гелдgжaи╧е╬д└░╧,лD│гелдgжaи╧е╬д└░╧,лD│гелдgжaи╧е╬╜sйw,ецйЎж~ды,ецйЎ╡з┤╔╝╞,▓╛┬р╝hж╕,┴`╝╙╝h╝╞,л╪кллм║A,еDнnе╬│~,еDнnл╪зў,л╪┐vз╣жиж~ды,л╪кл▓╛┬р┴`н▒┐nендшд╜д╪,л╪кл▓{кpоцз╜-й╨,л╪кл▓{кpоцз╜-╞U,л╪кл▓{кpоцз╜-╜├,л╪кл▓{кpоцз╜-╣j╢б,ж│╡L║▐▓z▓╒┬┤,┴`╗∙д╕,│ц╗∙иCендшд╜д╪,иожь├■зO,иожь▓╛┬р┴`н▒┐nендшд╜д╪,иожь┴`╗∙д╕
└tдs╢m,дgжa,дд┐│мq1101~1150жa╕╣,46.59,ифеL,,,10211,дgжa4л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,975000,20927,,0.0,0
└tдs╢m,й╨жa(дgжa+л╪кл),оч╢щ┐д└tдs╢mйп║╓дGдQдE╡є1~50╕╣,20.51,,дsйYжaлOи|░╧,пSйwе╪к║и╞╖~е╬жa,10211,дgжa1л╪кл1иожь0,дT╝h,004,д╜┤J(5╝╙зtеHдU╡L╣q▒ш),жэоaе╬,┐√╡м▓V╛одg│y,0720611,81.92,3,2,1,ж│,╡L,1500000,18311,,0.0,0
└tдs╢m,й╨жa(дgжa+л╪кл)+иожь,оч╢щ┐д└tдs╢mдхдTдG╡є52л╤1~50╕╣,41.85,жэ,,,10209,дgжa1л╪кл1иожь1,дC╝h,007,╡╪╖H(10╝hзtеHдUж│╣q▒ш),жэоaе╬,┐√╡м▓V╛одg│y,0991012,165.76,3,2,2,ж│,╡L,12150000,73299,йY╣Dенн▒,32.48,0
оч╢щел,й╨жa(дgжa+л╪кл),оч╢щ┐доч╢щеле┴е═╕Ї677л╤1~50╕╣,24.4,жэ,,,10211,дgжa1л╪кл1иожь0,дQдG╝h,015,жэжvдj╝╙(11╝hзtеHдWж│╣q▒ш),жэоaе╬,┐√╡м▓V╛одg│y,0860925,173.53,4,2,2,ж│,ж│,8700000,50135,,0.0,0
└tдs╢m,дgжa,дs║╓мq1~50жa╕╣,218.92,жэ,,,10201,дgжa3л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,13750000,62808,,0.0,0
оч╢щел,й╨жa(дgжa+л╪кл),оч╢щ┐доч╢щел─_╝y╕Ї520л╤1~50╕╣,84.15,жэ,,,10210,дgжa1л╪кл1иожь0,е■,005,│zд╤нэ,игифеL╡n░Oи╞╢╡,┐√╡м▓V╛одg│y,0931108,234.67,4,3,4,ж│,ж│,18500000,78834,,0.0,0
оч╢щел,й╨жa(дgжa+л╪кл),оч╢щ┐доч╢щелкL┤╦╕Ї103л╤1~50╕╣,33.79,жэ,,,10211,дgжa1л╪кл1иожь0,е|╝h,004,д╜┤J(5╝╙зtеHдU╡L╣q▒ш),жэоaе╬,┐√╡м▓V╛одg│y,0700718,90.18,3,2,1,ж│,╡L,2700000,29940,,0.0,0
оч╢щел,дgжa,└s▓╗мq201~250жa╕╣,60.34,ифеL,,,10211,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,4560000,75572,,0.0,0
оч╢щел,й╨жa(дgжa+л╪кл),оч╢щ┐доч╢щел┬∙?╕Ї151~200╕╣,14.26,жэ,,,10211,дgжa1л╪кл1иожь0,дE╝h,009,╡╪╖H(10╝hзtеHдUж│╣q▒ш),жэоaе╬,┐√╡м▓V╛одg│y,0910612,83.72,2,1,1,ж│,ж│,4550000,54348,,0.0,0
└tдs╢m,й╨жa(дgжa+л╪кл)+иожь,оч╢щ┐д└tдs╢m┐│╡╪дT╡є51~100╕╣,49.07,жэ,,,10211,дgжa1л╪кл1иожь1,дG╝h,004,д╜┤J(5╝╙зtеHдU╡L╣q▒ш),жэоaе╬,┐√╡м▓V╛одg│y,0830107,126.24000000000001,3,2,2,ж│,╡L,7350000,58222,йY╣Dенн▒,0.0,0
└tдs╢m,й╨жa(дgжa+л╪кл),оч╢щ┐д└tдs╢mйпм№дC╡є51~100╕╣,67.64,,дsйYжaлOи|░╧,д■║╪л╪┐vе╬жa,10210,дgжa2л╪кл1иожь0,д@╝h,005,д╜┤J(5╝╙зtеHдU╡L╣q▒ш),жэоaе╬,┐√╡м▓V╛одg│y,0860204,151.11,3,2,1,ж│,╡L,5340000,35338,,0.0,0
оч╢щел,й╨жa(дgжa+л╪кл),оч╢щ┐доч╢щелмKдщ╕Ї851~900╕╣,35.97,жэ,,,10212,дgжa1л╪кл1иожь0,д@╝h,010,╡╪╖H(10╝hзtеHдUж│╣q▒ш),жэоaе╬,┐√╡м▓V╛одg│y,0980116,172.88,3,2,2,ж│,ж│,11300000,65363,,0.0,0
оч╢щел,й╨жa(дgжa+л╪кл)+иожь,оч╢щ┐доч╢щеле┴ж│дT╡є451~500╕╣,11.44,░╙,,,10201,дgжa1л╪кл1иожь1,е|╝h,012,жэжvдj╝╙(11╝hзtеHдWж│╣q▒ш),жэоaе╬,┐√╡м▓V╛одg│y,1000506,76.31,1,2,1,ж│,ж│,7000000,92287,йY╣D╛ў▒ё,9.67,850000
оч╢щел,дgжa,╖Oдхмq251~300жa╕╣,26.15,ифеL,,,10210,дgжa4л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,3873800,148138,,0.0,0
оч╢щел,дgжa,╖|╜]мq351~400жa╕╣,54.65,ифеL,,,10210,дgжa8л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,3846600,70386,,0.0,0
оч╢щел,дgжa,дj┐│мq701~750жa╕╣,236.19,ифеL,,,10211,дgжa3л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,22361712,94677,,0.0,0
оч╢щел,дgжa,─_дsмq751~800жa╕╣,570.8,ифеL,,,10211,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,89398696,156620,,0.0,0
оч╢щел,дgжa,║╓д╕мq551~600жa╕╣,283.17,ифеL,,,10211,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,32874211,116094,,0.0,0
оч╢щел,й╨жa(дgжa+л╪кл),оч╢щ┐доч╢щелоч╢щелдWо№╕Ї151~200╕╣,12.31,жэ,,,10210,дgжa1л╪кл1иожь0,д╗╝h,012,жэжvдj╝╙(11╝hзtеHдWж│╣q▒ш),жэоaе╬,┐√╡м▓V╛одg│y,0920414,78.54,2,2,1,ж│,ж│,4479000,57028,,0.0,0
оч╢щел,й╨жa(дgжa+л╪кл)+иожь,оч╢щ┐доч╢щелдj│sд@╡є51~100╕╣,18.19,жэ,,,10210,дgжa6л╪кл1иожь1,дG╝h,012,жэжvдj╝╙(11╝hзtеHдWж│╣q▒ш),жэоaе╬,┐√╡м▓V╛одg│y,1020615,151.09,3,2,2,ж│,ж│,10150000,75511,йY╣Dенн▒,31.24,1100000
оч╢щел,й╨жa(дgжa+л╪кл)+иожь,оч╢щ┐доч╢щелдj│sд@╡є51~100╕╣,27.29,жэ,,,10211,дgжa6л╪кл1иожь2,дE╝h,012,жэжvдj╝╙(11╝hзtеHдWж│╣q▒ш),жэоaе╬,┐√╡м▓V╛одg│y,1020615,236.3,4,2,2,ж│,ж│,17000000,83420,йY╣Dенн▒,62.48,2500000
оч╢щел,й╨жa(дgжa+л╪кл)+иожь,оч╢щ┐доч╢щелдхдд╕Ї749л╤1~50╕╣,18.12,жэ,,,10211,дgжa1л╪кл1иожь1,е|╝h,008,╡╪╖H(10╝hзtеHдUж│╣q▒ш),жэоaе╬,┐√╡м▓V╛одg│y,0830305,128.48,3,2,2,ж│,ж│,6700000,52148,йY╣Dенн▒,0.0,0
оч╢щел,й╨жa(дgжa+л╪кл),оч╢щ┐доч╢щеле├жw╕Ї303л╤22з╦1~50╕╣,42.65,жэ,,,10210,дgжa3л╪кл1иожь0,е|╝h,005,д╜┤J(5╝╙зtеHдU╡L╣q▒ш),жэоaе╬,┐√╡м▓V╛одg│y,0740812,101.54,3,2,2,ж│,╡L,4250000,41855,,0.0,0
оч╢щел,й╨жa(дgжa+л╪кл),оч╢щ┐доч╢щелжP╝wдQ╡є1~50╕╣,17.6,жэ,,,10211,дgжa1л╪кл1иожь0,дT╝h,009,╡╪╖H(10╝hзtеHдUж│╣q▒ш),жэоaе╬,┐√╡м▓V╛одg│y,0881018,103.55000000000001,3,2,2,ж│,ж│,8100000,78223,,0.0,0
оч╢щел,й╨жa(дgжa+л╪кл)+иожь,оч╢щ┐доч╢щелдTе┴╕Їд@мq42л╤1~50╕╣,31.13,жэ,,,10211,дgжa2л╪кл1иожь1,дн╝h,010,╡╪╖H(10╝hзtеHдUж│╣q▒ш),жэоaе╬,┐√╡м▓V╛одg│y,0740510,160.57,4,2,2,ж│,ж│,8000000,49823,йY╣Dенн▒,0.0,0
└tдs╢m,й╨жa(дgжa+л╪кл)+иожь,оч╢щ┐д└tдs╢mдхд╞дC╕Ї101~150╕╣,18.31,жэ,,,10210,дgжa1л╪кл1иожь1,дн╝h,009,╡╪╖H(10╝hзtеHдUж│╣q▒ш),жэоaе╬,┐√╡м▓V╛одg│y,0851231,137.75,4,2,2,ж│,ж│,7000000,50817,йY╣Dенн▒,0.0,0
оч╢щел,й╨жa(дgжa+л╪кл)+иожь,оч╢щ┐доч╢щелдj┐│жш╕ЇдGмq139л╤1~50╕╣,19.36,жэ,,,10210,дgжa1л╪кл1иожь1,е|╝h,012,жэжvдj╝╙(11╝hзtеHдWж│╣q▒ш),жэоaе╬,┐√╡м▓V╛одg│y,0970502,148.13,3,2,2,ж│,ж│,11750000,79322,йY╣Dенн▒,0.0,0
╞[н╡╢m,дgжa,пє║кмq401~450жa╕╣,1249.0,ифеL,,,10210,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,11334675,9075,,0.0,0
дд├cел,й╨жa(дgжa+л╪кл)+иожь,оч╢щ┐ддд├cелд║ж┐╡є1~50╕╣,29.36,жэ,,,10210,дgжa1л╪кл1иожь1,дQд@╝h,012,жэжvдj╝╙(11╝hзtеHдWж│╣q▒ш),игифеL╡n░Oи╞╢╡,┐√╡м▓V╛одg│y,1011005,97.12,4,2,2,ж│,╡L,9620000,99053,йY╣Dенн▒,0.0,0
дд├cел,й╨жa(дgжa+л╪кл),оч╢щ┐ддд├cеле├▓M╡є322л╤51~100╕╣,78.83,жэ,,,10211,дgжa2л╪кл1иожь0,е■,004,│zд╤нэ,игифеL╡n░Oи╞╢╡,┐√╡м▓V╛одg│y,0880326,188.9,5,2,3,ж│,╡L,7880000,41715,,0.0,0
дд├cел,й╨жa(дgжa+л╪кл),оч╢щ┐ддд├cел└sдп╕Ї36л╤1~50╕╣,120.15,жэ,,,10211,дgжa1л╪кл1иожь0,е■,004,│zд╤нэ,игифеL╡n░Oи╞╢╡,┐√╡м▓V╛одg│y,1020612,283.28,4,2,5,ж│,╡L,16880000,59588,,0.0,0
дд├cел,й╨жa(дgжa+л╪кл)+иожь,оч╢щ┐ддд├cелдд╡╪╕ЇдGмq367л╤51~100╕╣,27.36,жэ,,,10211,дgжa2л╪кл1иожь1,дн╝h,006,╡╪╖H(10╝hзtеHдUж│╣q▒ш),игифеL╡n░Oи╞╢╡,┐√╡м▓V╛одg│y,0811116,126.28999999999999,2,1,2,ж│,ж│,4550000,36028,йY╣Dенн▒,0.0,0
╞[н╡╢m,дgжa,дu╖~░╧мqдGдpмq1051~1100жa╕╣,100.0,,дu╖~░╧,дB║╪л╪┐vе╬жa,10211,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,2193000,21930,,0.0,0
дд├cел,й╨жa(дgжa+л╪кл),оч╢щ┐ддд├cелдп╝wе|╡є1~50╕╣,18.91,жэ,,,10210,дgжa2л╪кл1иожь0,д╗╝h,006,╡╪╖H(10╝hзtеHдUж│╣q▒ш),жэоaе╬,┐√╡м▓V╛одg│y,0800627,87.97999999999999,3,2,1,ж│,ж│,2800000,31825,,0.0,0
дд├cел,й╨жa(дgжa+л╪кл)+иожь,оч╢щ┐ддд├cелк°┐│╡є1~50╕╣,22.31,жэ,,,10211,дgжa1л╪кл1иожь1,дQ╝h,012,жэжvдj╝╙(11╝hзtеHдWж│╣q▒ш),игифеL╡n░Oи╞╢╡,┐√╡м▓V╛одg│y,1011128,152.45,3,2,2,ж│,ж│,8500000,60709,йY╣Dенн▒,31.38,1150000
дд├cел,й╨жa(дgжa+л╪кл)+иожь,оч╢щ┐ддд├cелк°┐│╡є1~50╕╣,22.45,жэ,,,10211,дgжa1л╪кл1иожь1,дQ╝h,012,жэжvдj╝╙(11╝hзtеHдWж│╣q▒ш),игифеL╡n░Oи╞╢╡,┐√╡м▓V╛одg│y,1011128,153.32999999999998,3,2,2,ж│,ж│,7880000,55597,йY╣Dенн▒,31.38,1100000
дд├cел,й╨жa(дgжa+л╪кл)+иожь,оч╢щ┐ддд├cелк°┐│╡є1~50╕╣,18.09,жэ,,,10211,дgжa1л╪кл1иожь1,дQд@╝h,011,жэжvдj╝╙(11╝hзtеHдWж│╣q▒ш),игифеL╡n░Oи╞╢╡,┐√╡м▓V╛одg│y,1011128,129.41,2,2,1,ж│,ж│,7100000,61206,йY╣Dенн▒,31.38,1100000
дд├cел,й╨жa(дgжa+л╪кл)+иожь,оч╢щ┐ддд├cел┤_╡╪д╗╡є1~50╕╣,24.99,жэ,,,10211,дgжa1л╪кл1иожь1,дG╝h,012,жэжvдj╝╙(11╝hзtеHдWж│╣q▒ш),игифеL╡n░Oи╞╢╡,┐√╡м▓V╛одg│y,1011128,159.5,3,2,2,ж│,ж│,8700000,58188,йY╣Dенн▒,28.03,1050000
дд├cел,й╨жa(дgжa+л╪кл)+иожь,оч╢щ┐ддд├cел┤_╡╪д╗╡є1~50╕╣,24.99,жэ,,,10211,дgжa1л╪кл1иожь1,д╗╝h,012,жэжvдj╝╙(11╝hзtеHдWж│╣q▒ш),игифеL╡n░Oи╞╢╡,┐√╡м▓V╛одg│y,1011128,162.85,3,2,2,ж│,ж│,9280000,62220,йY╣Dенн▒,31.38,1100000
дд├cел,й╨жa(дgжa+л╪кл)+иожь,оч╢щ┐ддд├cел┤_╡╪д╗╡є1~50╕╣,24.99,жэ,,,10211,дgжa1л╪кл1иожь1,дK╝h,012,жэжvдj╝╙(11╝hзtеHдWж│╣q▒ш),игифеL╡n░Oи╞╢╡,┐√╡м▓V╛одg│y,1011128,162.85,3,2,2,ж│,ж│,9730000,65262,йY╣Dенн▒,31.38,1150000
дд├cел,й╨жa(дgжa+л╪кл)+иожь,оч╢щ┐ддд├cел┤_╡╪д╗╡є1~50╕╣,25.13,жэ,,,10211,дgжa1л╪кл1иожь1,дQд@╝h,012,жэжvдj╝╙(11╝hзtеHдWж│╣q▒ш),игифеL╡n░Oи╞╢╡,┐√╡м▓V╛одg│y,1011128,159.26,3,2,2,ж│,ж│,9900000,68815,йY╣Dенн▒,31.38,1100000
дд├cел,й╨жa(дgжa+л╪кл)+иожь,оч╢щ┐ддд├cел┤_╡╪д╗╡є1~50╕╣,35.14,жэ,,,10211,дgжa1л╪кл1иожь4,е|╝h,012,жэжvдj╝╙(11╝hзtеHдWж│╣q▒ш),игифеL╡n░Oи╞╢╡,┐√╡м▓V╛одg│y,1011128,300.49,4,2,2,ж│,ж│,15220000,60117,йY╣Dенн▒,122.17,4500000
дд├cел,й╨жa(дgжa+л╪кл),оч╢щ┐ддд├cелдде┐╕Ї801~850╕╣,77.86,жэ,,,10210,дgжa4л╪кл1иожь0,е■,002,│zд╤нэ,жэоaе╬,е[▒j┐j│y,0661223,106.22,5,3,2,ж│,╡L,9000000,84730,,0.0,0
дд├cел,й╨жa(дgжa+л╪кл),оч╢щ┐ддд├cелдj┤╝╡є1~50╕╣,7.73,жэ,,,10211,дgжa1л╪кл1иожь0,дG╝h,005,д╜┤J(5╝╙зtеHдU╡L╣q▒ш),жэоaе╬,┐√╡м▓V╛одg│y,0780529,29.41,1,0,1,ж│,ж│,1050000,35702,,0.0,0
дд├cел,дgжa,╡╪┐│мq201~250жa╕╣,496.02,╣A,,,10209,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,12000000,24193,,0.0,0
дд├cел,й╨жa(дgжa+л╪кл),оч╢щ┐ддд├cелдд╢щ╕Ї1~50╕╣,3.76,жэ,,,10211,дgжa1л╪кл1иожь0,дQд╗╝h,023,жэжvдj╝╙(11╝hзtеHдWж│╣q▒ш),жэоaе╬,┐√╡м▓V╛одg│y,0990522,46.93,1,1,1,ж│,ж│,2900000,61794,,0.0,0
дд├cел,й╨жa(дgжa+л╪кл)+иожь,оч╢щ┐ддд├cеле┴▒┌╕Ї251~300╕╣,16.31,жэ,,,10210,дgжa0л╪кл1иожь1,дн╝h,007,╡╪╖H(10╝hзtеHдUж│╣q▒ш),жэоaе╬,┐√╡м▓V╛одg│y,0830604,107.06,2,1,2,ж│,╡L,4500000,42033,йY╣D╛ў▒ё,16.76,0
дд├cел,й╨жa(дgжa+л╪кл)+иожь,оч╢щ┐ддд├cеле┴┼v╕Їе|мq701~750╕╣,37.74,жэ,,,10211,дgжa1л╪кл1иожь1,д╗╝h,010,╡╪╖H(10╝hзtеHдUж│╣q▒ш),игифеL╡n░Oи╞╢╡,┐√╡м▓V╛одg│y,1020220,197.27,3,2,2,ж│,ж│,12100000,61337,йY╣Dенн▒,35.47,0
дд├cел,дgжa,╖s┐│мq451~500жa╕╣,2556.81,╣A,,,10211,дgжa5л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,25100000,9817,,0.0,0
дд├cел,дgжa,┬∙└нмq701~750жa╕╣,115.37,ифеL,,,10211,дgжa2л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,3180000,27563,,0.0,0
дд├cел,й╨жa(дgжa+л╪кл)+иожь,оч╢щ┐ддд├cел└Їжш╕ЇдGмq300л╤1~50╕╣,7.03,жэ,,,10210,дgжa2л╪кл1иожь1,е|╝h,015,жэжvдj╝╙(11╝hзtеHдWж│╣q▒ш),игифеL╡n░Oи╞╢╡,┐√╡м▓V╛одg│y,1000628,97.28,2,1,1,ж│,ж│,7150000,73499,д╔н░енн▒,13.35,0
дд├cел,дgжa,дsдWмq1551~1600жa╕╣,3457.0,,пSйw╣A╖~░╧,╣Aкке╬жa,10210,дgжa2л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,23800000,6885,,0.0,0
дд├cел,й╨жa(дgжa+л╪кл)+иожь,оч╢щ┐ддд├cел└Їжш╕ЇдGмq351~400╕╣,12.55,жэ,,,10211,дgжa0л╪кл1иожь1,е|╝h,015,жэжvдj╝╙(11╝hзtеHдWж│╣q▒ш),игифеL╡n░Oи╞╢╡,┐√╡м▓V╛одg│y,1001215,149.56,3,2,2,ж│,ж│,11500000,76892,йY╣Dенн▒,27.05,0
дд├cел,й╨жa(дgжa+л╪кл),оч╢щ┐ддд├cелк°иF╕Ї1~50╕╣,14.88,░╙,,,10210,дgжa1л╪кл1иожь0,дG╝h,008,╡╪╖H(10╝hзtеHдUж│╣q▒ш),жэоaе╬,┐√╡м▓V╛одg│y,0810401,114.84,3,2,2,ж│,ж│,5100000,44410,,0.0,0
дд├cел,й╨жa(дgжa+л╪кл),оч╢щ┐ддд├cелиєжP╡є1~50╕╣,5.65,жэ,,,10211,дgжa1л╪кл1иожь0,д╗╝h,007,оMй╨(1й╨1╞U1╜├),жэоaе╬,┐√╡м▓V╛одg│y,0830502,33.05,1,0,1,ж│,ж│,1200000,36309,,0.0,0
дд├cел,й╨жa(дgжa+л╪кл)+иожь,оч╢щ┐ддд├cел║aжwдQдн╡є51~100╕╣,23.5,жэ,,,10210,дgжa1л╪кл2иожь1,дQ╝h,012,жэжvдj╝╙(11╝hзtеHдWж│╣q▒ш),жэоaе╬,┐√╡м▓V╛одg│y,0830304,148.82,3,2,1,ж│,ж│,5400000,36285,йY╣Dенн▒,0.0,0
╞[н╡╢m,й╨жa(дgжa+л╪кл),оч╢щ┐д╞[н╡╢m▒[йWз°1╛F▒[йW1~50╕╣,105.45,,пSйw╣A╖~░╧,е╥║╪л╪┐vе╬жa,10209,дgжa2л╪кл1иожь0,е■,003,│zд╤нэ,игифеL╡n░Oи╞╢╡,┐√╡м▓V╛одg│y,0871107,184.04,0,0,0,╡L,╡L,4650000,25266,,0.0,0
дд├cел,й╨жa(дgжa+л╪кл),оч╢щ┐ддд├cел║╓ж{д@╡є1~50╕╣,5.41,жэ,,,10210,дgжa1л╪кл1иожь0,дC╝h,012,жэжvдj╝╙(11╝hзtеHдWж│╣q▒ш),жэоaе╬,┐√╡м▓V╛одg│y,0840308,44.92,1,0,1,ж│,ж│,2000000,44524,,0.0,0
╞[н╡╢m,дgжa,е·й·мq1351~1400жa╕╣,1496.0,,пSйw╣A╖~░╧,╣Aкке╬жa,10112,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,7000000,4679,,0.0,0
дд├cел,дgжa,дTоyл╬мq┬┬к└дpмq1~50жa╕╣,3246.0,╣A,,,10209,дgжa6л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,29000000,8934,,0.0,0
дд├cел,й╨жa(дgжa+л╪кл),оч╢щ┐ддд├cелдд├cел┐│дп╕ЇдGмq648л╤1~50╕╣,14.62,жэ,,,10209,дgжa1л╪кл1иожь0,д╗╝h,012,жэжvдj╝╙(11╝hзtеHдWж│╣q▒ш),игифеL╡n░Oи╞╢╡,┐√╡м▓V╛одg│y,1020430,88.62,2,2,1,ж│,ж│,5831000,65798,,0.0,0
дj╖╦┬э,дgжa,д║м]мqдUоrдpмq1~50жa╕╣,516.4,,н╖┤║░╧,╣Aкке╬жa,10210,дgжa4л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,900000,1743,,0.0,0
└s╝ц╢m,й╨жa(дgжa+л╪кл),оч╢щ┐д└s╝ц╢mе┴▒j╡є1~50╕╣,12.47,ифеL,,,10211,дgжa2л╪кл1иожь0,дQдG╝h,014,жэжvдj╝╙(11╝hзtеHдWж│╣q▒ш),жэоaе╬,┐√╡м▓V╛одg│y,0870407,32.88,1,1,1,ж│,ж│,1500000,45620,,0.0,0
└s╝ц╢m,дgжa,╗╔╞r░щмq1~50жa╕╣,10215.0,,дsйYжaлOи|░╧,╣Aкке╬жa,10211,дgжa4л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,40119000,3927,,0.0,0
