¶mÂí¥«°Ï,¥æ©ö¼Ðªº,¤g¦a°Ï¬q¦ì¸m©Î«Øª«°ÏªùµP,¤g¦a²¾ÂàÁ`­±¿n¥­¤è¤½¤Ø,³£¥«¤g¦a¨Ï¥Î¤À°Ï,«D³£¥«¤g¦a¨Ï¥Î¤À°Ï,«D³£¥«¤g¦a¨Ï¥Î½s©w,¥æ©ö¦~¤ë,¥æ©öµ§´É¼Æ,²¾Âà¼h¦¸,Á`¼Ó¼h¼Æ,«Øª««¬ºA,¥D­n¥Î³~,¥D­n«Ø§÷,«Ø¿v§¹¦¨¦~¤ë,«Øª«²¾ÂàÁ`­±¿n¥­¤è¤½¤Ø,«Øª«²{ªp®æ§½-©Ð,«Øª«²{ªp®æ§½-ÆU,«Øª«²{ªp®æ§½-½Ã,«Øª«²{ªp®æ§½-¹j¶¡,¦³µLºÞ²z²ÕÂ´,Á`»ù¤¸,³æ»ù¨C¥­¤è¤½¤Ø,¨®¦ìÃþ§O,¨®¦ì²¾ÂàÁ`­±¿n¥­¤è¤½¤Ø,¨®¦ìÁ`»ù¤¸
¤¸ªø¶m,¤g¦a,¤T©M¬q501~550¦a¸¹,598.0,,¶m§ø°Ï,¤AºØ«Ø¿v¥Î¦a,10211,¤g¦a2«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,1500000,2508,,0.0,0
¤æ¤»¥«,¤g¦a,¥ú©ú¬q751~800¦a¸¹,4916.09,,¤u·~°Ï,¤BºØ«Ø¿v¥Î¦a,10211,¤g¦a1«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,57701396,11737,,0.0,0
ªL¤º¶m,¤g¦a,ªø¿³¬q851~900¦a¸¹,4518.77,,¯S©w¹A·~°Ï,¹Aªª¥Î¦a,10211,¤g¦a1«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,5800000,1284,,0.0,0
¤æ¤»¥«,©Ð¦a(¤g¦a+«Øª«)+¨®¦ì,¶³ªL¿¤¤æ¤»¥«º~¤f¸ô151~200¸¹,8.74,¦í,,,10211,¤g¦a1«Øª«1¨®¦ì1,¤C¼h,007,®M©Ð(1©Ð1ÆU1½Ã),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0840501,59.03,1,1,1,¦³,¦³,1500000,25411,¤É­°¾÷±ñ,0.0,0
¤æ¤»¥«,©Ð¦a(¤g¦a+«Øª«),¶³ªL¿¤¤æ¤»¥«´Î²y¤Q¤Kµó1~50¸¹,104.3,¦í,,,10211,¤g¦a1«Øª«1¨®¦ì0,¥þ,004,³z¤Ñ­í,¨£¨ä¥Lµn°O¨Æ¶µ,¿ûµ¬²V¾®¤g³y,1010507,214.24,4,3,5,¦³,µL,11000000,51344,,0.0,0
¤æ¤»¥«,©Ð¦a(¤g¦a+«Øª«),¶³ªL¿¤¤æ¤»¥«´Î²y¤Q¤Kµó1~50¸¹,105.68,¦í,,,10210,¤g¦a1«Øª«1¨®¦ì0,¥þ,004,³z¤Ñ­í,¨£¨ä¥Lµn°O¨Æ¶µ,¿ûµ¬²V¾®¤g³y,1010507,219.33,4,3,5,¦³,µL,10280000,46870,,0.0,0
¤æ¤»¥«,©Ð¦a(¤g¦a+«Øª«),¶³ªL¿¤¤æ¤»¥««áÉÜ¸ô1~50¸¹,93.26,,¶m§ø°Ï,¤AºØ«Ø¿v¥Î¦a,10211,¤g¦a1«Øª«1¨®¦ì0,¥þ,002,³z¤Ñ­í,¦í®a¥Î,¥[±j¿j³y,0690830,103.22,3,2,2,¦³,µL,3000000,29064,,0.0,0
¤æ«nÂí,¤g¦a,©ú©÷¬q1701~1750¦a¸¹,541.0,¦í,,,10210,¤g¦a1«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,3515124,6497,,0.0,0
ªê§ÀÂí,¤g¦a,´f¨Ó­í¬q3251~3300¦a¸¹,2387.0,,¯S©w¹A·~°Ï,¹Aªª¥Î¦a,10211,¤g¦a1«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,2864400,1200,,0.0,0
¤g®wÂí,¤g¦a,·s¥_¬q1001~1050¦a¸¹,3288.31,,¯S©w¹A·~°Ï,¹Aªª¥Î¦a,10211,¤g¦a1«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,4932465,1500,,0.0,0
¤g®wÂí,¤g¦a,·s¥_¬q1051~1100¦a¸¹,1569.06,,¯S©w¹A·~°Ï,¹Aªª¥Î¦a,10211,¤g¦a1«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,2353590,1500,,0.0,0
½Ç©¾¶m,¤g¦a,¼é¬v­í¬q551~600¦a¸¹,300.0,,¯S©w¹A·~°Ï,¹Aªª¥Î¦a,10211,¤g¦a1«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,336000,1120,,0.0,0
¤æ¤»¥«,©Ð¦a(¤g¦a+«Øª«),¶³ªL¿¤¤æ¤»¥«¤j¦P¸ô414«Ñ1~50¸¹,81.0,¦í,,,10211,¤g¦a2«Øª«1¨®¦ì0,¥þ,002,³z¤Ñ­í,,¥[±j¿j³y,0660320,94.05,6,1,2,¦³,µL,2900000,30835,,0.0,0
¤æ¤»¥«,¤g¦a,¤j±[¬q­XÐ¤¸}¤p¬q1~50¦a¸¹,65.5,,¯S©w¹A·~°Ï,¹Aªª¥Î¦a,10211,¤g¦a1«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,75000,1145,,0.0,0
ªê§ÀÂí,©Ð¦a(¤g¦a+«Øª«),¶³ªL¿¤ªê§ÀÂí©M¥­¸ô1~50¸¹,19.52,¦í,,,10211,¤g¦a1«Øª«1¨®¦ì0,¤G¼h¡A¤T¼h,009,µØ·H(10¼h§t¥H¤U¦³¹q±è),¦í°Ó¥Î,¿ûµ¬²V¾®¤g³y,0861003,163.26,2,1,2,¦³,µL,2500000,15313,,0.0,0
¤¸ªø¶m,¤g¦a,¼æ¤º¬q751~800¦a¸¹,6447.75,,¯S©w¹A·~°Ï,¹Aªª¥Î¦a,10210,¤g¦a4«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,3800000,589,,0.0,0
¤j°ñ¶m,©Ð¦a(¤g¦a+«Øª«),¶³ªL¿¤¤j°ñ¶mºÖ¼wµó76«Ñ1~50¸¹,115.1,,¯S©w¹A·~°Ï,¥ÒºØ«Ø¿v¥Î¦a,10212,¤g¦a2«Øª«1¨®¦ì0,¥þ,003,³z¤Ñ­í,¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0821018,133.7,3,2,2,¦³,µL,800000,5984,,0.0,0
¦èÁ³Âí,¤g¦a,ªÀ¤f¬q951~1000¦a¸¹,2450.0,,¯S©w¹A·~°Ï,¹Aªª¥Î¦a,10210,¤g¦a3«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,5218400,2130,,0.0,0
¦èÁ³Âí,¤g¦a,°ñÀY¬q251~300¦a¸¹,182.18,,¶m§ø°Ï,¤AºØ«Ø¿v¥Î¦a,10210,¤g¦a2«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,1500000,8234,,0.0,0
¦èÁ³Âí,¤g¦a,°ñÀYÔÅ¬q851~900¦a¸¹,506.77,¦í,,,10210,¤g¦a12«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,4356218,8596,,0.0,0
¤æ¤»¥«,¤g¦a,¥ú©ú¬q351~400¦a¸¹,165.04,,¤u·~°Ï,¤BºØ«Ø¿v¥Î¦a,10211,¤g¦a1«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,1847000,11191,,0.0,0
¤¸ªø¶m,¤g¦a,ªF´ò¬q201~250¦a¸¹,1984.95,,¯S©w¹A·~°Ï,¹Aªª¥Î¦a,10210,¤g¦a1«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,1500000,756,,0.0,0
¥|´ò¶m,©Ð¦a(¤g¦a+«Øª«),¶³ªL¿¤¥|´ò¶mª÷¤sµó17«Ñ1~50¸¹,119.0,¦í,,,10211,¤g¦a1«Øª«1¨®¦ì0,¥þ,003,³z¤Ñ­í,¦í®a¥Î,¿ûµ¬²V¾®¤g³y,1010306,243.72,4,2,5,¦³,µL,6660000,27326,,0.0,0
¤ôªL¶m,¤g¦a,¬K¤û®H¬q901~950¦a¸¹,3967.0,,¯S©w¹A·~°Ï,¹Aªª¥Î¦a,10211,¤g¦a1«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,2578550,650,,0.0,0
ªê§ÀÂí,©Ð¦a(¤g¦a+«Øª«)+¨®¦ì,¶³ªL¿¤ªê§ÀÂí¼w¿³¸ô51~100¸¹,19.36,¦í,,,10211,¤g¦a1«Øª«1¨®¦ì2,¤­¼h,014,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0880730,175.11,4,1,2,¦³,¦³,3250000,18560,¤É­°¾÷±ñ,13.12,0
ªê§ÀÂí,©Ð¦a(¤g¦a+«Øª«),¶³ªL¿¤ªê§ÀÂíÑM¤º¸ô101~150¸¹,92.82,,¶m§ø°Ï,¤AºØ«Ø¿v¥Î¦a,10210,¤g¦a1«Øª«1¨®¦ì0,¥þ,003,³z¤Ñ­í,¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0840610,152.66,4,2,3,¦³,µL,3000000,19652,,0.0,0
¦èÁ³Âí,¤g¦a,¤j¦P¬q551~600¦a¸¹,24.9,¦í,,,10211,¤g¦a2«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,376336,15114,,0.0,0
¤æ¤»¥«,¤g¦a,«rª¯¬q651~700¦a¸¹,2813.0,,¤s©Y¦a«O¨|°Ï,¹Aªª¥Î¦a,10211,¤g¦a1«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,2200000,782,,0.0,0
¤æ¤»¥«,¤g¦a,¤æ¤»¬q401~450¦a¸¹,34.33,°Ó,,,10211,¤g¦a1«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,1100000,32042,,0.0,0
¤æ¤»¥«,©Ð¦a(¤g¦a+«Øª«),¶³ªL¿¤¤æ¤»¥«¤T¥­¨½¦è¥­¸ô201~250¸¹,10.57,¦í,,,10210,¤g¦a1«Øª«2¨®¦ì0,¤Q¤@¼h,016,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0860515,107.32,3,2,2,¦³,¦³,2500000,23295,,0.0,0
¤æ¤»¥«,©Ð¦a(¤g¦a+«Øª«)+¨®¦ì,¶³ªL¿¤¤æ¤»¥«¤T¥­¨½¦è¥­¸ô201~250¸¹,14.74,¦í,,,10210,¤g¦a1«Øª«1¨®¦ì1,¤Q¤G¼h,016,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0860515,149.59,4,2,2,¦³,¦³,3300000,22060,©Y¹D¥­­±,0.0,0
¤æ¤»¥«,©Ð¦a(¤g¦a+«Øª«),¶³ªL¿¤¤æ¤»¥«¦P¼wµó1~50¸¹,186.48,¦í,,,10211,¤g¦a2«Øª«1¨®¦ì0,¥þ,004,³z¤Ñ­í,¨£¨ä¥Lµn°O¨Æ¶µ,¿ûµ¬²V¾®¤g³y,1010416,440.48,5,2,5,¦³,¦³,17200000,39049,,0.0,0
¤G±[¶m,¤g¦a,¨Ó´f¬q1~50¦a¸¹,355.59,,¯S©w¹A·~°Ï,¹Aªª¥Î¦a,10211,¤g¦a1«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,350000,984,,0.0,0
¤æ¤»¥«,©Ð¦a(¤g¦a+«Øª«),¶³ªL¿¤¤æ¤»¥«¤å©÷¸ô401«Ñ1~50¸¹,79.0,,¶m§ø°Ï,¤AºØ«Ø¿v¥Î¦a,10211,¤g¦a1«Øª«1¨®¦ì0,¥þ,003,³z¤Ñ­í,¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0850826,168.13,4,1,3,¦³,µL,3100000,18438,,0.0,0
Ûl®ä¶m,¤g¦a,³Â¶é¬q1501~1550¦a¸¹,45.0,,,,10208,¤g¦a1«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,517180,11493,,0.0,0
¦èÁ³Âí,¤g¦a,·sµó¬q1101~1150¦a¸¹,20.52,¦í,,,10208,¤g¦a1«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,620000,30214,,0.0,0
¦èÁ³Âí,¤g¦a,®H¤ß¬q1601~1650¦a¸¹,3363.0,¹A,,,10211,¤g¦a4«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,5380800,1600,,0.0,0
¤æ¤»¥«,©Ð¦a(¤g¦a+«Øª«),¶³ªL¿¤¤æ¤»¥«¦P¼wµó1~50¸¹,150.47,¦í,,,10211,¤g¦a2«Øª«1¨®¦ì0,¥þ,004,³z¤Ñ­í,¨£¨ä¥Lµn°O¨Æ¶µ,¿ûµ¬²V¾®¤g³y,1010416,417.62,5,1,5,¦³,¦³,14800000,35439,,0.0,0
¤æ¤»¥«,©Ð¦a(¤g¦a+«Øª«),¶³ªL¿¤¤æ¤»¥«¤æ¤»¤G¸ô101~150¸¹,154.19,¦í,,,10207,¤g¦a2«Øª«1¨®¦ì0,¥þ,003,³z¤Ñ­í,¨£¨ä¥Lµn°O¨Æ¶µ,¿ûµ¬²V¾®¤g³y,1020705,252.0,5,2,4,¦³,µL,12500000,49603,,0.0,0
¤æ¤»¥«,©Ð¦a(¤g¦a+«Øª«),¶³ªL¿¤¤æ¤»¥«¤æ¤»¤G¸ô101~150¸¹,115.48,¦í,,,10103,¤g¦a3«Øª«1¨®¦ì0,¥þ,003,³z¤Ñ­í,¨£¨ä¥Lµn°O¨Æ¶µ,¿ûµ¬²V¾®¤g³y,1020705,217.95,4,2,4,¦³,µL,7230000,33173,,0.0,0
¤æ¤»¥«,¤g¦a,¤j¼æ¬qªÀ¤f¤p¬q501~550¦a¸¹,75.97,¦í,,,10211,¤g¦a1«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,14000000,184283,,0.0,0
Ûl®ä¶m,¤g¦a,³Â¶é¬q2601~2650¦a¸¹,2469.0,,¯S©w¹A·~°Ï,¹Aªª¥Î¦a,10211,¤g¦a1«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,3950400,1600,,0.0,0
¤æ¤»¥«,©Ð¦a(¤g¦a+«Øª«),¶³ªL¿¤¤æ¤»¥«Â×¿³¸ô151~200¸¹,89.0,,¶m§ø°Ï,¤AºØ«Ø¿v¥Î¦a,10210,¤g¦a1«Øª«1¨®¦ì0,¥þ,004,³z¤Ñ­í,¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0871008,187.88,4,3,4,¦³,µL,4100000,21822,,0.0,0
¤æ¤»¥«,¤g¦a,·¾¤lÔÅ¬q®ã¸Ì¤p¬q1451~1500¦a¸¹,2292.0,,¯S©w¹A·~°Ï,¹Aªª¥Î¦a,10211,¤g¦a2«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,2750400,1200,,0.0,0
¤æ¤»¥«,¤g¦a,¤j¼æ¬qªÀ¤f¤p¬q51~100¦a¸¹,965.0,¦í,,,10210,¤g¦a1«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,50350000,52176,,0.0,0
¤æ¤»¥«,©Ð¦a(¤g¦a+«Øª«),¶³ªL¿¤¤æ¤»¥«¼Ö§Qµó51~100¸¹,4.0,¦í,,,10211,¤g¦a1«Øª«1¨®¦ì0,¤G¼h,007,®M©Ð(1©Ð1ÆU1½Ã),¨£¨ä¥Lµn°O¨Æ¶µ,¿ûµ¬²V¾®¤g³y,0990223,18.479999999999997,1,1,1,¦³,¦³,970000,52489,,0.0,0
¤æ¤»¥«,©Ð¦a(¤g¦a+«Øª«),¶³ªL¿¤¤æ¤»¥«¦è¥­¸ô252«Ñ1~50¸¹,105.0,¦í,,,10211,¤g¦a1«Øª«1¨®¦ì0,¥þ,003,³z¤Ñ­í,¦í°Ó¥Î,¥[±j¿j³y,0691210,172.69,4,1,3,¦³,µL,4000000,23163,,0.0,0
¥j§|¶m,¤g¦a,·s¥ú¬q351~400¦a¸¹,857.92,,¶m§ø°Ï,¤AºØ«Ø¿v¥Î¦a,10210,¤g¦a3«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,4939000,5757,,0.0,0
¤G±[¶m,¤g¦a,¸q½å¬q251~300¦a¸¹,49.13,,¶m§ø°Ï,¤AºØ«Ø¿v¥Î¦a,10211,¤g¦a1«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,140000,2850,,0.0,0
±[­I¶m,©Ð¦a(¤g¦a+«Øª«),¶³ªL¿¤±[­I¶mªF¿³¸ô151~200¸¹,96.0,,¶m§ø°Ï,¤AºØ«Ø¿v¥Î¦a,10210,¤g¦a1«Øª«1¨®¦ì0,¥þ,003,³z¤Ñ­í,¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0840117,146.07,3,3,3,¦³,µL,2620000,17937,,0.0,0
ªê§ÀÂí,¤g¦a,¥­©M­í¬q701~750¦a¸¹,130.9,°Ó,,,10211,¤g¦a3«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,3761050,28732,,0.0,0
ªê§ÀÂí,©Ð¦a(¤g¦a+«Øª«),¶³ªL¿¤ªê§ÀÂí²ø·qµó1~50¸¹,100.81,¦í,,,10211,¤g¦a1«Øª«1¨®¦ì0,¥þ,003,³z¤Ñ­í,¦í°Ó¥Î,¥[±j¿j³y,0730217,208.98,4,3,4,¦³,µL,8600000,41152,,0.0,0
ªê§ÀÂí,¤g¦a,·G¨Ï¬q1651~1700¦a¸¹,742.81,¹A,,,10211,¤g¦a1«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,5500000,7404,,0.0,0
½Ç©¾¶m,¤g¦a,¤T´ò¬q901~950¦a¸¹,1253.0,,¯S©w¹A·~°Ï,¹Aªª¥Î¦a,10211,¤g¦a1«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,1754200,1400,,0.0,0
½Ç©¾¶m,©Ð¦a(¤g¦a+«Øª«),¶³ªL¿¤½Ç©¾¶m¤Ó´ò¸ô1~50¸¹,82.0,,¶m§ø°Ï,¤AºØ«Ø¿v¥Î¦a,10211,¤g¦a1«Øª«1¨®¦ì0,¥þ,003,³z¤Ñ­í,¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0831214,157.95,4,1,3,¦³,µL,1860000,11776,,0.0,0
¤ôªL¶m,¤g¦a,¬K¤û®H¬q901~950¦a¸¹,2787.0,,¯S©w¹A·~°Ï,¹Aªª¥Î¦a,10211,¤g¦a2«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,1811550,650,,0.0,0
¥_´äÂí,¤g¦a,·sµó¬q251~300¦a¸¹,1779.0,¹A,,,10211,¤g¦a1«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,2560000,1439,,0.0,0
¥|´ò¶m,¤g¦a,·Ë«n¬q651~700¦a¸¹,4000.0,,¤@¯ë¹A·~°Ï,¹Aªª¥Î¦a,10211,¤g¦a1«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,4800000,1200,,0.0,0
¥j§|¶m,¤g¦a,³Â¶éÉÜ¬q651~700¦a¸¹,2334.05,,¤@¯ë¹A·~°Ï,¹Aªª¥Î¦a,10211,¤g¦a1«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,2000000,857,,0.0,0
Ûl®ä¶m,¤g¦a,Ûl®ä¬q151~200¦a¸¹,167.0,,¯S©w¹A·~°Ï,¥ÒºØ«Ø¿v¥Î¦a,10211,¤g¦a1«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,1200000,7186,,0.0,0
¥j§|¶m,¤g¦a,®rÀY­í¬q551~600¦a¸¹,2121.0,,¤@¯ë¹A·~°Ï,¹Aªª¥Î¦a,10211,¤g¦a1«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,1858738,876,,0.0,0
¥j§|¶m,¤g¦a,®rÀY­í¬q551~600¦a¸¹,1330.0,,¤@¯ë¹A·~°Ï,¹Aªª¥Î¦a,10211,¤g¦a1«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,1096984,825,,0.0,0
¥j§|¶m,¤g¦a,®rÀY­í¬q551~600¦a¸¹,1218.0,,¤@¯ë¹A·~°Ï,¹Aªª¥Î¦a,10211,¤g¦a2«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,1004606,825,,0.0,0
¤æ¤»¥«,¤g¦a,«áÉÜ¬q1201~1250¦a¸¹,284.12,,¶m§ø°Ï,¤AºØ«Ø¿v¥Î¦a,10210,¤g¦a3«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,2050000,7215,,0.0,0
¤æ¤»¥«,©Ð¦a(¤g¦a+«Øª«),¶³ªL¿¤¤æ¤»¥«¸U¦~¸ô173«Ñ1~50¸¹,121.0,,¶m§ø°Ï,¤AºØ«Ø¿v¥Î¦a,10210,¤g¦a1«Øª«1¨®¦ì0,¤@¼h,001,¨ä¥L,¦í®a¥Î,¥[±j¿j³y,0700430,68.23,3,2,1,¦³,µL,1760000,25795,,0.0,0
¤j°ñ¶m,¤g¦a,Äª¦Ë«Ñ¬q1551~1600¦a¸¹,2878.0,,¯S©w¹A·~°Ï,¹Aªª¥Î¦a,10211,¤g¦a2«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,2767200,962,,0.0,0
