¶mÂí¥«°Ï,¥æ©ö¼Ðªº,¤g¦a°Ï¬q¦ì¸m©Î«Øª«°ÏªùµP,¤g¦a²¾ÂàÁ`­±¿n¥­¤è¤½¤Ø,³£¥«¤g¦a¨Ï¥Î¤À°Ï,«D³£¥«¤g¦a¨Ï¥Î¤À°Ï,«D³£¥«¤g¦a¨Ï¥Î½s©w,¥æ©ö¦~¤ë,¥æ©öµ§´É¼Æ,²¾Âà¼h¦¸,Á`¼Ó¼h¼Æ,«Øª««¬ºA,¥D­n¥Î³~,¥D­n«Ø§÷,«Ø¿v§¹¦¨¦~¤ë,«Øª«²¾ÂàÁ`­±¿n¥­¤è¤½¤Ø,«Øª«²{ªp®æ§½-©Ð,«Øª«²{ªp®æ§½-ÆU,«Øª«²{ªp®æ§½-½Ã,«Øª«²{ªp®æ§½-¹j¶¡,¦³µLºÞ²z²ÕÂ´,Á`»ù¤¸,³æ»ù¨C¥­¤è¤½¤Ø,¨®¦ìÃþ§O,¨®¦ì²¾ÂàÁ`­±¿n¥­¤è¤½¤Ø,¨®¦ìÁ`»ù¤¸
¤¤°Ï,©Ð¦a(¤g¦a+«Øª«),»O¤¤¥«¤¤°Ï¦¨¥\¸ô128«Ñ1~50¸¹,5.66,°Ó,,,10211,¤g¦a1«Øª«1¨®¦ì0,¤T¼h,005,¤½´J(5¼Ó§t¥H¤UµL¹q±è),¨£¨ä¥Lµn°O¨Æ¶µ,¿ûµ¬²V¾®¤g³y,0730424,25.68,1,1,1,¦³,µL,500000,19470,,0.0,0
¤¤°Ï,©Ð¦a(¤g¦a+«Øª«),»O¤¤¥«¤¤°Ï¤¤µØ¸ô¤@¬q101~150¸¹,1.65,°Ó,,,10211,¤g¦a1«Øª«1¨®¦ì0,¤Q¤»¼h,019,®M©Ð(1©Ð1ÆU1½Ã),¨£¨ä¥Lµn°O¨Æ¶µ,¿û°©¿ûµ¬²V¾®¤g³y,0850520,34.08,1,1,2,¦³,¦³,1120000,32864,,0.0,0
ªF°Ï,©Ð¦a(¤g¦a+«Øª«)+¨®¦ì,»O¤¤¥«ªF°Ï¥É¬Óµó1~50¸¹,18.49,¦í,,,10210,¤g¦a1«Øª«1¨®¦ì1,¤­¼h,008,µØ·H(10¼h§t¥H¤U¦³¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0861111,115.59,2,1,1,¦³,¦³,3980000,34432,©Y¹D¾÷±ñ,6.67,0
¦è°Ï,©Ð¦a(¤g¦a+«Øª«),»O¤¤¥«¦è°ÏµØ¬ü¦èµó¤@¬q1~50¸¹,4.2,¦í,,,10211,¤g¦a1«Øª«1¨®¦ì0,¤K¼h,012,®M©Ð(1©Ð1ÆU1½Ã),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0780805,32.800000000000004,1,1,1,¦³,¦³,1580000,48171,,0.0,0
«n°Ï,©Ð¦a(¤g¦a+«Øª«)+¨®¦ì,»O¤¤¥««n°Ï¾Ç©²¸ô51~100¸¹,24.19,¦í,,,10211,¤g¦a2«Øª«1¨®¦ì1,¤K¼h,014,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¨£¨ä¥Lµn°O¨Æ¶µ,¿ûµ¬²V¾®¤g³y,1000729,151.01,3,2,2,¦³,¦³,10100000,66883,©Y¹D¥­­±,27.03,0
«n°Ï,©Ð¦a(¤g¦a+«Øª«),»O¤¤¥««n°Ï´_¿³¸ô¤G¬q51~100¸¹,76.0,°Ó,,,10207,¤g¦a1«Øª«1¨®¦ì0,¥þ,003,³z¤Ñ­í,°Ó·~¥Î,¥[±j¿j³y,0610126,199.52,4,1,3,¦³,µL,10980000,55032,,0.0,0
«n°Ï,©Ð¦a(¤g¦a+«Øª«),»O¤¤¥««n°ÏºÖ¥Ð¤Tµó101~150¸¹,74.0,¦í,¤u·~°Ï,,10211,¤g¦a1«Øª«1¨®¦ì0,¥þ,004,³z¤Ñ­í,¦í°Ó¥Î,¿ûµ¬²V¾®¤g³y,0830401,238.2,4,2,4,¦³,µL,13600000,57095,,0.0,0
¦è°Ï,©Ð¦a(¤g¦a+«Øª«)+¨®¦ì,»O¤¤¥«¦è°Ï¥ÁÅv¸ô312«Ñ1~50¸¹,39.0,¦í,,,10211,¤g¦a1«Øª«1¨®¦ì2,¤C¼h¡A¤K¼h,008,µØ·H(10¼h§t¥H¤U¦³¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0830630,293.05,5,3,3,¦³,¦³,9500000,32418,¤É­°¾÷±ñ,0.0,0
ªF°Ï,©Ð¦a(¤g¦a+«Øª«),»O¤¤¥«ªF°Ï¤Q¥Ò¸ô401~450¸¹,11.79,¦í,,,10210,¤g¦a1«Øª«2¨®¦ì0,¤K¼h,013,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0830702,97.88,3,2,2,¦³,¦³,3580000,36575,,0.0,0
«n°Ï,¤g¦a,¥b¥­­í¬q1051~1100¦a¸¹,24.0,¨ä¥L,,,10211,¤g¦a1«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,726000,30250,,0.0,0
«n°Ï,¤g¦a,³»¾ô¤lÀY¬q51~100¦a¸¹,7.56,¨ä¥L,,,10211,¤g¦a1«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,380000,50265,,0.0,0
«n°Ï,©Ð¦a(¤g¦a+«Øª«),»O¤¤¥««n°Ï«n©M¸ô51~100¸¹,37.01,¦í,,,10211,¤g¦a1«Øª«1¨®¦ì0,¤@¼h,008,©±­±(©±¾Q),°Ó·~¥Î,¿ûµ¬²V¾®¤g³y,0680522,70.89,0,1,0,¦³,µL,5000000,70532,,0.0,0
«n°Ï,¨®¦ì,»O¤¤¥««n°Ï«n¶§µó51~100¸¹,2.77,¦í,,,10211,¤g¦a0«Øª«0¨®¦ì2,¦a¤U¤G¼h,016,¨ä¥L,¨£¨ä¥Lµn°O¨Æ¶µ,¿ûµ¬²V¾®¤g³y,0830728,32.88,0,0,0,¦³,¦³,1000000,,©Y¹D¥­­±,0.0,1000000
«n°Ï,¨®¦ì,»O¤¤¥««n°Ï«n¶§µó51~100¸¹,1.38,¦í,,,10211,¤g¦a0«Øª«0¨®¦ì1,¦a¤U¤T¼h,016,¨ä¥L,¨£¨ä¥Lµn°O¨Æ¶µ,¿ûµ¬²V¾®¤g³y,0830728,16.59,0,0,0,¦³,¦³,470000,,©Y¹D¥­­±,0.0,470000
«n°Ï,¨®¦ì,»O¤¤¥««n°Ï«n¶§µó51~100¸¹,2.77,¦í,,,10211,¤g¦a0«Øª«0¨®¦ì2,¦a¤U¤G¼h,016,¨ä¥L,¨£¨ä¥Lµn°O¨Æ¶µ,¿ûµ¬²V¾®¤g³y,0830728,32.88,0,0,0,¦³,¦³,1000000,,©Y¹D¥­­±,0.0,1000000
«n°Ï,¨®¦ì,»O¤¤¥««n°Ï«n¶§µó51~100¸¹,8.31,¦í,,,10211,¤g¦a0«Øª«0¨®¦ì6,¦a¤U¤T¼h,016,¨ä¥L,¨£¨ä¥Lµn°O¨Æ¶µ,¿ûµ¬²V¾®¤g³y,0830728,99.53999999999999,0,0,0,¦³,¦³,2820000,,©Y¹D¥­­±,0.0,2820000
«n°Ï,¨®¦ì,»O¤¤¥««n°Ï«n¶§µó51~100¸¹,2.77,¦í,,,10211,¤g¦a0«Øª«0¨®¦ì2,¦a¤U¤T¼h,016,¨ä¥L,¨£¨ä¥Lµn°O¨Æ¶µ,¿ûµ¬²V¾®¤g³y,0830728,33.18,0,0,0,¦³,¦³,950000,,©Y¹D¥­­±,0.0,950000
¦è°Ï,©Ð¦a(¤g¦a+«Øª«),»O¤¤¥«¦è°Ï©²«áµó47«Ñ1~50¸¹,20.75,¦í,,,10212,¤g¦a1«Øª«1¨®¦ì0,¥|¼h,004,¤½´J(5¼Ó§t¥H¤UµL¹q±è),¦í®a¥Î,¨£¨ä¥Lµn°O¨Æ¶µ,0571030,65.25,3,2,1,¦³,µL,1950000,29885,,0.0,0
«n°Ï,¨®¦ì,»O¤¤¥««n°Ï«n¶§µó51~100¸¹,1.38,¦í,,,10210,¤g¦a0«Øª«0¨®¦ì1,¦a¤U¤G¼h,016,¨ä¥L,¨£¨ä¥Lµn°O¨Æ¶µ,¿ûµ¬²V¾®¤g³y,0830728,16.44,0,0,0,¦³,¦³,500000,,©Y¹D¥­­±,0.0,500000
«n°Ï,¨®¦ì,»O¤¤¥««n°Ï«n¶§µó51~100¸¹,1.38,¦í,,,10210,¤g¦a0«Øª«0¨®¦ì1,¦a¤U¤T¼h,016,¨ä¥L,¨£¨ä¥Lµn°O¨Æ¶µ,¿ûµ¬²V¾®¤g³y,0830728,16.59,0,0,0,¦³,¦³,470000,,©Y¹D¥­­±,0.0,470000
¥_¤Ù°Ï,©Ð¦a(¤g¦a+«Øª«),»O¤¤¥«¥_¤Ù°Ï¥_¤Ù¸ô201~250¸¹,6.84,°Ó,,,10211,¤g¦a1«Øª«1¨®¦ì0,¥|¼h,013,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0830208,65.03,2,1,1,¦³,¦³,2280000,35061,,0.0,0
¥_°Ï,©Ð¦a(¤g¦a+«Øª«),»O¤¤¥«¥_°Ï¾Ç¤h¸ô51~100¸¹,28.69,¦í,,,10211,¤g¦a1«Øª«1¨®¦ì0,¤Q¤G¼h,012,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0781026,291.88,4,3,3,¦³,¦³,10930000,37447,,0.0,0
¥_¤Ù°Ï,©Ð¦a(¤g¦a+«Øª«),»O¤¤¥«¥_¤Ù°ÏÀô¤¤¸ô¤@¬q401~450¸¹,99.08,¦í,,,10210,¤g¦a4«Øª«1¨®¦ì0,¥þ,004,³z¤Ñ­í,¨£¨ä¥Lµn°O¨Æ¶µ,¿ûµ¬²V¾®¤g³y,1000721,182.86,5,3,3,¦³,µL,12000000,65624,,0.0,0
¥_¤Ù°Ï,©Ð¦a(¤g¦a+«Øª«)+¨®¦ì,»O¤¤¥«¥_¤Ù°Ï¥_µØµó151~200¸¹,16.39,¦í,,,10211,¤g¦a1«Øª«1¨®¦ì1,¤C¼h,007,µØ·H(10¼h§t¥H¤U¦³¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0840123,104.56,2,1,1,¦³,¦³,3380000,32326,¤É­°¾÷±ñ,0.0,0
¥_¤Ù°Ï,©Ð¦a(¤g¦a+«Øª«),»O¤¤¥«¥_¤Ù°Ï¤Ó¶¶¤Tµó51~100¸¹,230.08,¦í,,,10210,¤g¦a1«Øª«1¨®¦ì0,¥þ,004,³z¤Ñ­í,¨£¨ä¥Lµn°O¨Æ¶µ,¿ûµ¬²V¾®¤g³y,1010302,390.37,4,3,6,¦³,µL,34500000,88378,,0.0,0
¥_¤Ù°Ï,¤g¦a,«C¶³¬q601~650¦a¸¹,158.33,¨ä¥L,,,10210,¤g¦a2«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,6100000,38527,,0.0,0
¥_¤Ù°Ï,¨®¦ì,»O¤¤¥«¥_¤Ù°Ï¤¤²M¸ô·s¥­«Ñ51~100¸¹,0.0,,,,10211,¤g¦a0«Øª«0¨®¦ì1,,,¨ä¥L,,,,30.59,0,0,0,¦³,¦³,1000000,,©Y¹D¥­­±,30.59,1000000
¥_¤Ù°Ï,©Ð¦a(¤g¦a+«Øª«)+¨®¦ì,»O¤¤¥«¥_¤Ù°Ï¤¤²M¸ô·s¥­«Ñ32§Ë1~50¸¹,24.23,¦í,,,10211,¤g¦a1«Øª«1¨®¦ì1,¤K¼h,008,µØ·H(10¼h§t¥H¤U¦³¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0830630,160.35000000000002,3,2,2,¦³,¦³,6000000,37418,©Y¹D¥­­±,0.0,0
¥_¤Ù°Ï,©Ð¦a(¤g¦a+«Øª«),»O¤¤¥«¥_¤Ù°Ï­xºa¤Gµó51~100¸¹,117.3,¦í,,,10211,¤g¦a1«Øª«1¨®¦ì0,¥þ,004,³z¤Ñ­í,¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0951207,244.21,4,3,3,¦³,µL,17000000,69612,,0.0,0
¥_°Ï,©Ð¦a(¤g¦a+«Øª«),»O¤¤¥«¥_°Ï½Ã¹D¸ô201~250¸¹,78.0,¦í,,,10210,¤g¦a1«Øª«1¨®¦ì0,¥þ,003,³z¤Ñ­í,¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0661012,134.15,4,2,3,¦³,µL,2815000,20984,,0.0,0
¥_¤Ù°Ï,©Ð¦a(¤g¦a+«Øª«),»O¤¤¥«¥_¤Ù°Ï©M¥­¨½ªQ¦Ë¸ô¤@¬q25«Ñ51~100¸¹,166.22,¦í,,,10211,¤g¦a2«Øª«1¨®¦ì0,¥þ,004,³z¤Ñ­í,¨£¨ä¥Lµn°O¨Æ¶µ,¿ûµ¬²V¾®¤g³y,1011102,301.65,5,2,5,¦³,µL,18600000,61661,,0.0,0
¥_¤Ù°Ï,©Ð¦a(¤g¦a+«Øª«),»O¤¤¥«¥_¤Ù°Ï­x©Mµó41«Ñ1~50¸¹,111.0,¦í,,,10211,¤g¦a1«Øª«1¨®¦ì0,¥þ,002,³z¤Ñ­í,¦í®a¥Î,¿ûµ¬²V¾®¤g¥[±j¿j³y,0620602,106.74,3,1,3,¦³,µL,5400000,50590,,0.0,0
¥_°Ï,©Ð¦a(¤g¦a+«Øª«),»O¤¤¥«¥_°Ï°·¦æ¸ô401~450¸¹,3.96,¦í,,,10211,¤g¦a1«Øª«1¨®¦ì0,¤Q¼h,016,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0840526,31.34,1,0,1,¦³,¦³,1200000,38290,,0.0,0
¥_°Ï,©Ð¦a(¤g¦a+«Øª«),»O¤¤¥«¥_°Ï°·¦æ¸ô401~450¸¹,3.96,¦í,,,10211,¤g¦a1«Øª«1¨®¦ì0,¤Q¤T¼h,016,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0840526,33.83,1,0,1,¦³,¦³,1300000,38427,,0.0,0
¥_¤Ù°Ï,©Ð¦a(¤g¦a+«Øª«)+¨®¦ì,»O¤¤¥«¥_¤Ù°ÏªQ¦Ë¸ô¤G¬q301~350¸¹,15.46,¦í,,,10211,¤g¦a1«Øª«1¨®¦ì1,¤Q¤T¼h,013,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0821214,126.49,3,2,2,¦³,¦³,5350000,42296,©Y¹D¾÷±ñ,0.0,0
¥_¤Ù°Ï,©Ð¦a(¤g¦a+«Øª«)+¨®¦ì,»O¤¤¥«¥_¤Ù°Ï±R¼w¸ô¤G¬q151~200¸¹,5.98,°Ó,,,10211,¤g¦a1«Øª«1¨®¦ì1,¤­¼h,017,®M©Ð(1©Ð1ÆU1½Ã),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0990909,81.24000000000001,1,1,1,¦³,¦³,5450000,67085,©Y¹D¾÷±ñ,14.97,0
¥_¤Ù°Ï,©Ð¦a(¤g¦a+«Øª«),»O¤¤¥«¥_¤Ù°Ï¹p¤¤µó61«Ñ10§Ë1~50¸¹,203.0,¦í,,,10210,¤g¦a2«Øª«1¨®¦ì0,¤@¼h,001,¨ä¥L,¦í®a¥Î,¿ûµ¬²V¾®¤g¥[±j¿j³y,0620310,69.83,3,2,2,¦³,µL,13000000,186166,,0.0,0
¥_°Ï,¤g¦a,¿à­í‚»¬q151~200¦a¸¹,222.0,¦í,,,10211,¤g¦a2«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,16788750,75625,,0.0,0
¥_°Ï,©Ð¦a(¤g¦a+«Øª«),»O¤¤¥«¥_°Ï°ê±jµó24«Ñ1~50¸¹,26.18,¦í,,,10210,¤g¦a1«Øª«1¨®¦ì0,¤T¼h,005,¤½´J(5¼Ó§t¥H¤UµL¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0711111,83.19,3,2,1,¦³,µL,2620000,31494,,0.0,0
¥_¤Ù°Ï,©Ð¦a(¤g¦a+«Øª«),»O¤¤¥«¥_¤Ù°Ï¦w¶¶¥_¤@µó51~100¸¹,22.93,¦í,,,10210,¤g¦a1«Øª«1¨®¦ì0,¤G¼h,005,¤½´J(5¼Ó§t¥H¤UµL¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0770519,82.5,3,2,2,¦³,µL,3200000,38788,,0.0,0
¥_°Ï,©Ð¦a(¤g¦a+«Øª«),»O¤¤¥«¥_°Ï¶i¤Æ¸ô642«Ñ1~50¸¹,25.8,¨ä¥L,,,10210,¤g¦a1«Øª«1¨®¦ì0,¤G¼h,005,¤½´J(5¼Ó§t¥H¤UµL¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0700909,78.19,3,2,2,¦³,µL,2650000,33892,,0.0,0
¥_¤Ù°Ï,©Ð¦a(¤g¦a+«Øª«)+¨®¦ì,»O¤¤¥«¥_¤Ù°Ï¿³¦w¸ô¤G¬q461«Ñ58§Ë1~50¸¹,22.86,¦í,,,10209,¤g¦a1«Øª«1¨®¦ì1,¤@¼h,011,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0841127,145.92,3,2,2,¦³,¦³,5800000,39748,©Y¹D¾÷±ñ,0.0,0
¥_¤Ù°Ï,¤g¦a,¤j¿³¬q701~750¦a¸¹,3697.97,¨ä¥L,,,10206,¤g¦a3«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,97872460,26467,,0.0,0
¥_°Ï,©Ð¦a(¤g¦a+«Øª«),»O¤¤¥«¥_°Ï¦Û±jµó33«Ñ51~100¸¹,128.0,¦í,,,10211,¤g¦a2«Øª«1¨®¦ì0,¥þ,002,³z¤Ñ­í,¦í®a¥Î,¿ûµ¬²V¾®¤g¥[±j¿j³y,0620409,163.9,7,2,7,¦³,µL,13400000,81757,,0.0,0
¥_¤Ù°Ï,¤g¦a,¥_¤Ù¬q501~550¦a¸¹,725.0,¨ä¥L,,,10211,¤g¦a5«Øª«0¨®¦ì0,,,¨ä¥L,,,,0.0,0,0,0,¦³,µL,26342100,36334,,0.0,0
¥_¤Ù°Ï,©Ð¦a(¤g¦a+«Øª«),»O¤¤¥«¥_¤Ù°Ï±R¼w¤»¸ô1~50¸¹,24.7,¦í,,,10210,¤g¦a1«Øª«1¨®¦ì0,¤K¼h,012,µØ·H(10¼h§t¥H¤U¦³¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0820831,148.32,3,2,2,¦³,¦³,6400000,43150,,0.0,0
¥_°Ï,©Ð¦a(¤g¦a+«Øª«),»O¤¤¥«¥_°ÏÀA·sµó90«Ñ1~50¸¹,33.0,¦í,,,10211,¤g¦a1«Øª«1¨®¦ì0,¤T¼h,004,¤½´J(5¼Ó§t¥H¤UµL¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0631203,80.03,4,0,4,¦³,µL,4200000,52480,,0.0,0
¥_°Ï,©Ð¦a(¤g¦a+«Øª«),»O¤¤¥«¥_°Ï¤­±`µó351~400¸¹,2.86,°Ó,,,10211,¤g¦a1«Øª«1¨®¦ì0,¤Q¤T¼h,017,®M©Ð(1©Ð1ÆU1½Ã),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0971128,30.130000000000003,1,1,1,¦³,¦³,2020000,67043,,0.0,0
¥_¤Ù°Ï,©Ð¦a(¤g¦a+«Øª«)+¨®¦ì,»O¤¤¥«¥_¤Ù°Ï­x©Mµó1~50¸¹,25.34,¦í,,,10211,¤g¦a1«Øª«1¨®¦ì1,¤Q¤@¼h,015,¦í¦v¤j¼Ó(11¼h§t¥H¤W¦³¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0801226,173.81,3,2,2,¦³,¦³,5450000,31356,©Y¹D¥­­±,37.0,0
¥_¤Ù°Ï,©Ð¦a(¤g¦a+«Øª«),»O¤¤¥«¥_¤Ù°Ï¹´§µµó32«Ñ1~50¸¹,22.74,¦í,,,10210,¤g¦a1«Øª«1¨®¦ì0,¤­¼h,007,µØ·H(10¼h§t¥H¤U¦³¹q±è),¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0800528,115.0,3,2,2,¦³,¦³,3850000,33481,,0.0,0
¥_¤Ù°Ï,©Ð¦a(¤g¦a+«Øª«),»O¤¤¥«¥_¤Ù°Ï´º©Mµó301~350¸¹,107.08,¦í,,,10211,¤g¦a5«Øª«1¨®¦ì0,¥þ,002,³z¤Ñ­í,¦í®a¥Î,¿ûµ¬²V¾®¤g³y,0681201,149.81,6,3,2,¦³,µL,12350000,82438,,0.0,0
¥_°Ï,©Ð¦a(¤g¦a+«Øª«),»O¤¤¥«¥_°Ïº~¤f¸ô¥|¬q251~300¸¹,79.0,¦í,,,10210,¤g¦a1«Øª«1¨®¦ì0,ÃM¼Ó¡A¦a¤U¼h¡A¤@¼h¡A¤G¼h¡A¤T¼h,003,©±­±(©±¾Q),¦í°Ó¥Î,¿ûµ¬²V¾®¤g³y,0681122,215.4,3,3,3,¦³,µL,26250000,121866,,0.0,0
¥_°Ï,©Ð¦a(¤g¦a+«Øª«),»O¤¤¥«¥_°Ïº~¤f¸ô¥|¬q301~350¸¹,93.0,¦í,,,10211,¤g¦a2«Øª«1¨®¦ì0,¤@¼h¡A¤G¼h¡A¤T¼h¡AÃM¼Ó¡A¦a¤U¼h,003,©±­±(©±¾Q),¦í°Ó¥Î,¿ûµ¬²V¾®¤g³y,0681122,215.4,4,3,3,¦³,µL,31000000,143918,,0.0,0
